covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
log_n_events,-0.16530090847135037,0.8476386040723538,0.07235429424194456,-0.3071127193123755,-0.023489097630325223,0.7355676835506518,0.9767846238778549,0.0,-2.284603978287769,0.02233605945835735,5.484481502670256
activated,0.1201902335681624,1.127711359731222,0.16871534779039124,-0.21048577174015382,0.4508662388764786,0.8101905826734744,1.569671307052676,0.0,0.7123847067990784,0.47622658304874776,1.0702799405491825
mod_readiness,-0.04384981305385533,0.9570976902586446,0.05488718915153842,-0.1514267270035082,0.06372710089579753,0.8594808567035342,1.0658015027953158,0.0,-0.798907973457888,0.42434377522157285,1.2366945804409604
mod_age,0.002194701439209662,1.0021971115592554,0.006513635931720508,-0.010571790395368532,0.014961193273787856,0.9894838945780045,1.015073672165297,0.0,0.3369395315021782,0.7361624841071968,0.4419038650942069
mod_edu,-0.009785552317333756,0.9902621704084782,0.07322257854297276,-0.1532991691167157,0.13372806448204821,0.8578730342988946,1.143081932798518,0.0,-0.133641187077164,0.8936863137220368,0.16215956443188775
mod_cpd,-0.0003016690099415347,0.9996983764875791,0.007712633450923647,-0.015418152799710753,0.014814814779827684,0.9847000983997661,1.0149250980841973,0.0,-0.0391136194739564,0.9687998025089204,0.045729523950321115
