covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
log_n_events,-0.10890225434585717,0.8968180732833998,0.03479567311550462,-0.17710052047007485,-0.040703988221639495,0.837695574737709,0.9601132927311675,0.0,-3.1297642665039107,0.0017494663353200839,9.158869381349861
mod_readiness,0.019962198889938883,1.0201627760125027,0.03166547458676135,-0.04210099085348171,0.08202538863335948,0.9587729483846316,1.0854833684189684,0.0,0.6304089596144771,0.5284270503522898,0.920223774384711
mod_age,0.00398587424054153,1.0039938284018566,0.0033888355014044004,-0.0026561212917418303,0.010627869772824889,0.9973474030773419,1.010684546186008,0.0,1.176178141101775,0.2395236974843072,2.0617596975822154
mod_edu,0.07662073926698144,1.079632536509124,0.037694029477595335,0.002741799058703434,0.15049967947525944,1.002745561227327,1.1624149325203312,0.0,2.0327022695337855,0.04208261187399335,4.570631940925884
mod_cpd,-0.0011691144575880618,0.9988315686904674,0.00392562586298007,-0.008863199765807968,0.006524970850631843,0.9911759626025319,1.0065463048489303,0.0,-0.29781606765259827,0.7658435505062718,0.384878391981944
