,coef,se,t,p,ci_lo,ci_hi
Intercept,2.7771607524645967,0.5108800577650446,5.436032803108204,1.0653573755824435e-07,1.7721458411507467,3.782175663778447
log_n_events,0.8451640987756903,0.29807550738066874,2.835402701156325,0.00486086703418968,0.25878315659221807,1.4315450409591626
log_craving_tool,-0.26246833615640786,0.17312193137552806,-1.5160894640614522,0.13045985068867227,-0.603037751351466,0.07810107903865021
log_content,-0.45678974875667233,0.21284277386027034,-2.146136983990593,0.03259539095870016,-0.8754989119813433,-0.03808058553200133
mod_readiness,-0.0007493629373489519,0.049156144819718396,-0.015244542469659946,0.9878463544333447,-0.09745045309663736,0.09595172722193945
mod_age,-0.00032166724564408784,0.005919226782452955,-0.05434278115473511,0.9566951496821673,-0.01196610528818253,0.011322770796894354
mod_edu,0.06970039051895062,0.06519568804411342,1.0690950983106302,0.28581296255977606,-0.058554055200349994,0.19795483623825122
mod_cpd,0.0021460269985449473,0.006904690978400035,0.31080710277380547,0.7561446892627514,-0.011437038705103375,0.01572909270219327
