,coef,se,t,p,ci_lo,ci_hi
Intercept,3.6982915873837214,0.4221651365701321,8.760296071415038,6.82419184592741e-18,2.869994386251756,4.526588788515687
log_n_events,0.2887015730215787,0.24521865226934214,1.1773230557701457,0.23930934393408806,-0.1924227684866796,0.769825914529837
log_craving_tool,0.0019284109138905103,0.15488019483314988,0.012450984555952803,0.9900679604449275,-0.301949907730169,0.30580672955795
log_content,-0.1774041939264821,0.16551991825488405,-1.0717996709815762,0.28403411365559267,-0.5021578818694856,0.14734949401652137
mod_readiness,-0.05625152973823802,0.04695187520925539,-1.1980677978789107,0.23113662274239394,-0.14837213244760677,0.03586907297113073
mod_age,-0.0037527786212438324,0.005019274627333508,-0.7476734986380886,0.4548094455690873,-0.013600704860037775,0.00609514761755011
mod_edu,-0.07987712764940762,0.05457306063330502,-1.4636732248925755,0.14355557919798573,-0.186950662302268,0.02719640700345277
mod_cpd,-0.0023113108712000236,0.00567000132030637,-0.40763850670058316,0.6836146987647811,-0.013435977067419941,0.008813355325019893
