param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,log_n_events,0.4382235341124391,1.5499513356949461,0.14635143436846226,0.15137999366447558,0.7250670745604026,1.163438673419893,2.0648695955420795,0.0,2.994323465318036,0.002750541737312903,8.506068489747383
lambda_,mod_age,0.027149472204926313,1.0275213771715055,0.012847708329720039,0.0019684265947997846,0.05233051781505284,1.0019703652182332,1.0537239595049996,0.0,2.113176257443721,0.03458568464993168,4.853681173824161
lambda_,mod_cpd,0.0063430805530755785,1.006363240491357,0.015196344968830943,-0.02344120828247952,0.036127369388630676,0.97683140257657,1.0367878931214825,0.0,0.4174083021993645,0.6763797833212251,0.564094555982302
lambda_,mod_edu,0.041989123873719496,1.042883136160397,0.1433386919505297,-0.23894954994040007,0.3229277976878391,0.7874546085025179,1.3811656239538885,0.0,0.29293642422948263,0.7695707469471772,0.37787413470397396
lambda_,mod_readiness,0.05965120179430722,1.0614662444472935,0.1189917018077805,-0.1735682482080722,0.29287065179668664,0.840659775680728,1.3402694177780572,0.0,0.5013055607076528,0.616156092379116,0.6986322160866377
lambda_,Intercept,1.627925190438336,5.093296128543927,1.0328559981700989,-0.39643536719122574,3.652285748067898,0.6727137546756344,38.562710027460305,0.0,1.5761395521955777,0.11499364559441141,3.120373953045688
rho_,Intercept,-0.6000096309601354,0.54880635053649,0.0679214725408809,-0.7331332709171882,-0.4668859910030826,0.48040140174156654,0.6269515644569372,0.0,-8.833872537127322,1.0111286204194262e-18,59.77873918131646
